Feature,Pearson_r,p_value,__index_level_0__
Alg_ww_disc_caus_d,-0.016584462699483216,0.36959426710851395,356
Wrd_per_let_zn,0.016542023086718562,0.37082061181953396,28
Vd_nw_dz,-0.016147905741233776,0.3823293728891378,401
AL_ww_bnwbwp,-0.01606940243459278,0.3846476485077609,159
Afk_ond_d,0.016006811687588527,0.3865021538774993,431
Inhwrd_prev,-0.015971779688798062,0.3875424958181536,37
Form_d,-0.015942952715892633,0.3883998460800777,446
Alg_nw_rel_sit_d,-0.015939493575545916,0.38850280277431765,277
Conn_reeks_wg_TTR,0.015653348688903758,0.3970769498391781,212
Extra_KConj_dz,0.01565221540677914,0.39711113314576824,23
Inhwrd_dz_zonder_abw,0.015362644942057494,0.40590351252872703,19
Subj_bvnw_d,-0.01531880368145297,0.4072447435337777,336
Ep_negatief_bvnw_p,-0.015310967495272216,0.40748475310104515,321
Let_per_wrd_zn,-0.01525650536012391,0.40915516642324046,27
Alg_ww_ontw_p,0.015110022172136424,0.4136681262838591,359
Let_per_wrd_sam,0.01502687084490446,0.4162429635545789,75
Alg_ww_d,-0.014982358637138218,0.4176251905002833,346
Lidw_d,0.014968701780687524,0.41804981490438736,417
Alpino_status,-0.014873125830768856,0.4210286056820748,9
classification,-0.014856113955612132,0.42156011264428117,3
Vd_nw_d,-0.014776344134412311,0.42405762552883186,400
Freq3000_inhwrd,-0.014769582283494502,0.4242697291753566,59
views,0.01467279603180296,0.42731247831039587,4
Freq50_staph,-0.014630924682190604,0.4286327499434687,40
Namen_p,0.014624029185594778,0.428850403350131,33
Wrd_freq_log,-0.014588508872700648,0.42997260409160093,44
AL_ww_vzg,0.014540828559114276,0.43148165464595983,148
Freq5000_satwrd_nw,-0.014473735186229384,0.4336103041092479,103
Lem_freq_zn_log_zonder_abw,0.014372638769779768,0.43682919134243775,50
Ep_negatief_bvnw_d,-0.014338327997706079,0.4379247571887475,322
AL_vg_wwhoofdzin,0.014127648412207044,0.4446864315872213,154
Alg_ww_afz_sit_p,-0.013974769487742575,0.4496300637163572,349
KConj_per_zin,0.013956663930455523,0.45021759714609916,174
Plaats_nw_d,0.013918750174385533,0.4514493227916696,259
Ovd_nw_d,-0.013895559048863958,0.45220368421127594,406
Freq65_Staph,-0.013891626321308422,0.45233167863103224,41
Freq20000_satwrd_nw,0.013852061110187495,0.45362050452054525,104
Lem_freq_log_zonder_abw,0.01381681765359913,0.4547702921401484,49
Pers_namen_p,0.013660204493955238,0.4598994628452415,370
Alg_ev_bvnw_p,-0.013600546225888738,0.4618617843737411,327
Conn_reeks_wg_d,0.013551108722013868,0.46349145133092623,210
surp_fietje-2,-0.013495077138502936,0.4653423516873244,465
Conn_temp_TTR,-0.013450086414761682,0.46683150493996495,208
Waarn_nmens_bvnw_d,0.013427155527002268,0.46759151249790726,292
Organisatie_nw_d,-0.013401735157143817,0.46843483039193384,269
Alg_ww_afz_sit_d,-0.013379465331963767,0.46917432039394974,348
Infin_vrij_d,-0.013280199891835928,0.4724783569473863,396
Stof_bvnw_d,0.01324833063156319,0.47354183051030746,298
Pers_nw_p,0.013156617678288551,0.47660960988097073,244
Stof_bvnw_p,0.013145591996656332,0.4769791478847761,297
Pers_nw_d,0.013095055855715822,0.47867492739814077,245
Attr_bijv_nw_dz,-0.01296755426885185,0.4829679326600618,171
Concr_ov_nw_p,0.012887650384786158,0.48566892974351106,254
Pers_namen_p2,0.012879060990291725,0.4859597632531885,371
Form_bw_d,-0.012800254139776417,0.4886325220097706,449
Form_d_z_vnw,-0.012719173823754423,0.4913906300411605,447
Gedekte_bvnw_p,0.012599700663994955,0.4954699259713652,339
Freq10000_inhwrd,-0.01254451738855369,0.4973601896663769,61
Pv_ww1_per_zin,0.012503999201354253,0.4987505514766853,125
Koppelww_dz,0.012432958890290866,0.501193240456493,391
wrd_freq_log_zn_corr,-0.01239735466825032,0.5024198541715076,10
Alg_ww_ontw_d,0.012388732117091792,0.5027171512392604,358
Spec_bijw_p,0.012387212371014679,0.5027695602196095,365
Conn_reeks_zin_d,-0.012383729217647296,0.5028896888823816,214
Alg_ww_rel_sit_p,-0.012333022166030971,0.5046402135153729,351
Afk_pol_d,-0.012332323894728586,0.5046643418464868,432
Nom_d,-0.0122438293525294,0.5077271292362638,134
Freq3000,-0.012179661048809671,0.5099540718092594,53
Vnw_ref_d,0.012144649863547241,0.5111712752811498,190
Tw_d,0.012137845716258687,0.5114080050631648,420
Ovd_bv_dz,0.012135068897965198,0.5115046325169594,405
Freq10000,-0.011945540176283005,0.5181222818506768,55
Freq5000_corr,-0.011923494274355373,0.518894906932057,109
Pv_hzin_per_zin,-0.011922985811738635,0.5189127336291925,123
Lem_over_buf_dz,-0.011892497646438982,0.5199822261245312,199
Freq1000_inhwrd_zonder_abw,-0.011823490005902399,0.5224071301680299,63
Procesww_p,0.01178261038003774,0.5238463602262402,381
TTR_inhwrd,0.01171508138602163,0.526228265346407,184
Conn_caus_dz,-0.011670148753115402,0.5278162030465178,227
Alg_nw_hand_p,-0.011628400000682665,0.5292938059906974,280
Wrd_freq_log_nw,0.011411023053884948,0.5370212015923593,80
Pv_Frog_d,0.01134273231602679,0.5394604741783534,130
Ovd_bv_d,0.0112937549404889,0.5412133026883694,404
Afk_gen_d,-0.01128898375088441,0.5413842084302316,427
Tuss_d,-0.011268595478244617,0.5421148270874605,423
Alg_bijw_p,-0.010987675922181098,0.5522314137519653,363
Infin_vrij_dz,-0.010963627064398728,0.5531017562141333,397
Wrd_per_let,0.010860826186363904,0.556829740292792,26
Imp_ellips_d,0.010728929323726464,0.5616307167139037,411
Interp_d,0.010680143792909536,0.5634115385013885,425
Alg_ww_hand_d,-0.010548279746888857,0.5682385517559283,352
Alg_ev_bvnw_d,-0.010502274302590896,0.5699272657928512,328
AL_ww_znwbwp,-0.010467029309794824,0.5712226139973829,161
Wrd_prev,-0.010415612011403945,0.5731148456050807,35
Conc_bvnw_ruim_p,0.010313203876091564,0.5768924433787355,333
Vz_d,0.010165165814271852,0.5823738639682773,418
Conn_caus_d,-0.010088440904101213,0.5852242952859561,226
Concr_ov_nw_d,0.009948603386496425,0.5904360387311411,255
Form_bvnw_d,-0.00994537406710023,0.5905566473309852,448
wrd_freq_zn_log,-0.009645510596928768,0.6018049739033862,11
Extra_KConj_per_zin,0.009617346789974255,0.6028663836631941,175
Conn_reeks_zin_dz,-0.009464955429067636,0.6086241051947522,215
Form_ww_d,-0.009418658670874724,0.6103781457148497,454
Plaats_nw_p,0.009412767958984679,0.6106014872357727,258
Let_per_wrd_corr,-0.009358573643418815,0.6126579180477293,79
Conn_TTR,0.009298628628977419,0.6149361179343509,204
Props_dz_tot,-0.00910010132355359,0.6225075595286332,177
Alg_ww_rel_sit_d,-0.00905250346258495,0.6243288359304374,350
AL_vg_wwbijzin,0.00901244984691423,0.62586322076488,152
Bvnw_d,-0.009000134868209749,0.6263353124201299,414
Bijv_bep_d,-0.008995679481968343,0.6265061462666666,168
Ep_positief_bvnw_d,0.008984156181171139,0.626948079580184,320
surp_tweety-7b-dutch-v24a,-0.00891973730002554,0.629421088058778,470
Form_vz_d,0.008912019524363934,0.6297176491088361,452
Hzin_conj,-0.008784252169679804,0.6346358424043419,126
Form_vgw_d,0.008651591971440876,0.6397594894507129,450
Let_per_wrd,-0.008635788675016584,0.6403710023222832,25
Arg_over_buf_dz,-0.008596999917291539,0.6418729783445681,197
Onbep_nwg_p,0.00854905617575882,0.6437314781712065,200
Pers_ref_d,0.00853956084033524,0.6440998218920513,15
Samenst3_p,0.008348198837808808,0.6515416709053659,72
Alg_negatief_bvnw_p,0.008269584265946046,0.6546090392675601,315
Alg_nw_hand_d,-0.008129196583460431,0.6601011532444135,279
Undefined_ATP_ww_p,-0.008124360299276653,0.6602906824743326,383
Vnw_d,-0.00798637750664921,0.6657072293839528,416
Samenst3_d,0.007935568968196081,0.66770614896547,71
Freq5000_inhwrd,-0.007886910423724264,0.6696226945547555,60
Inhwrd_dz,0.007813239382148174,0.6725285169698599,188
Bijw_compl_bijzin_los,-0.007794038041915682,0.6732866854831512,122
Plaats_bvnw_p,0.007787737052572701,0.6735355536036539,307
Freq20000_nw_corr,-0.0076377142599889656,0.679471452680459,107
Kleur_bvnw_d,-0.007579713812807714,0.6817716955319121,296
Pers_vnw3_d,0.0074987391468976355,0.6849880208553664,369
Betr_bijzin_per_zin,-0.007422171937822707,0.6880345417097163,114
Freq5000,-0.007418575337399774,0.6881777712669402,54
Onbep_nwg_dz,0.0073854852820068005,0.6894960602048401,201
Afk_med_d,-0.007326149437042329,0.6918623249802224,430
Let_per_wrd_nsam,-0.0072498899541125535,0.6949079090234274,74
Vragen_p,-0.0072167004348452895,0.6962349449224755,412
MTLD_namen,-0.0071481821231178955,0.6989774905158993,183
Let_per_wrd_satwrd,0.007087181016487042,0.7014224585724991,77
Freq2000,-0.007069672435022281,0.7021247875047829,52
Vnw_ref_dz,0.00706456544488126,0.7023296942389959,191
surp_mGPT,-0.006962429522489717,0.7064321965746022,469
Wrd_freq_log_ong_nw,0.006932511535151982,0.7076355373771545,81
Maat_nw_d,-0.006795671307452001,0.7131486989509903,263
PlantDier_nw_d,-0.006791590631938786,0.7133133373391449,247
Ep_positief_bvnw_p,0.0067895169373445655,0.7133970074589987,319
Wrd_prev_z,0.006735253953804674,0.7155876505199429,36
Let_per_wrd_nw_corr,-0.00657806055385971,0.7219468498232215,78
Ovd_vrij_d,0.00647115882211835,0.7262825480751453,408
Int_ww_d,-0.006438530811300763,0.7276076233506246,445
Wrd_freq_log_nw_corr,0.006438010599840095,0.7276287565695291,86
Voed_verz_nw_d,0.006426370704844723,0.7281016731023257,253
Ww_d,-0.0064119958748131475,0.7286858499326014,422
Freq1000_sam_nw,0.006381690969892245,0.7299179227046645,96
Procesww_d,0.006368590734836469,0.7304507403758683,382
surp_EuroLLM-9B,-0.006364655662119826,0.7306108145380578,468
Wrd_freq_log_corr_zonder_abw,-0.006360635852180713,0.730774347820549,88
Voed_verz_nw_p,0.006275963878541312,0.7342217914672695,252
Freq77_Staph,-0.006275418103066381,0.7342440303360441,42
Conc_bvnw_strikt_d,0.00627318396806525,0.734335067594031,332
AL_ww_wwvc,-0.006208655413464026,0.7369661040186298,151
Tijd_bvnw_p,-0.006107628456175428,0.7410914828808676,305
LiNT_niveau1,0.006095224164433756,0.7415985210539623,457
Inhwrd_d,0.006032744907727372,0.7441541257810546,187
Freq5000_sam_nw,-0.006021306573610056,0.744622296908558,97
Technisch_bvnw_d,-0.00590222409642233,0.7495019169012649,304
Meerv_ontk_d,0.0058212852043649,0.7528242780657172,143
Arg_over_vzin_d,0.00580553630690152,0.7534712695292873,192
Geluid_bvnw_p,-0.0057488955064889154,0.7557995972334833,299
read_time_sec,-0.005739346690731508,0.7561923385369355,5
AL_ob_ww,-0.005718275723961718,0.7570592067475896,146
Emotie_MTLD,-0.005688000734435728,0.7583052669145248,241
Gebr_vw_nw_p,0.005677480096979631,0.7587384232020694,248
Freq10000_inhwrd_zonder_abw,-0.005645830887970658,0.7600419420554969,67
LiNT_score2,0.005528510712689113,0.764879862667089,458
Koppelww_d,0.005389101676400301,0.7706405898045138,390
Let_per_wrd_nw,-0.005343829541444403,0.7725140873266324,73
Dzin_per_wrd,0.005339338773391825,0.7727000013291291,112
Freq3000_inhwrd_zonder_abw,-0.0053100488563203345,0.7739128985720288,65
PlantDier_nw_p,-0.005306311826385457,0.7740676889682185,246
Samenst_d,-0.005274031698787527,0.7754051275825571,69
Wrd_per_dz,0.005168212696119078,0.7797940994115946,18
Tijd_nw_p,0.0051542820235573016,0.7803724172655077,260
Freq2000_inhwrd,-0.005092502678969114,0.7829385843135843,58
Freq20000_nsam_nw,-0.0050267975122638055,0.785670412665074,95
Gedekte_bw_p,-0.005007817657262534,0.786460032388662,366
Infin_nw_dz,-0.0048639979626757725,0.7924504495896454,395
Samenst_p,-0.004853502391820133,0.792888098451435,70
Tijd_bvnw_d,-0.004768865400056301,0.7964197005325884,306
AL_indirob_ww,0.004705194050052146,0.7990792341365349,147
Emosoc_bvnw_p,0.004670756531981074,0.8005186526133398,289
Emosoc_bvnw_d,-0.004645713740894456,0.8015658162133844,290
Wrd_freq_zn_log_zonder_abw,0.004504116099601019,0.8074933699740078,48
Vd_bv_d,-0.004440491940339086,0.8101604250750575,398
Betr_bijzin_los,0.004438562684865001,0.8102413319464036,121
Plaats_bvnw_d,0.004363832986788968,0.8133768106001711,308
Meerv_ontk_dz,0.004358662318067553,0.813593870680787,144
Let_per_wrd_hfdwrd,0.004231044926078823,0.8189556302585532,76
Freq2000_inhwrd_zonder_abw,0.004158425939674519,0.8220104674753091,64
LiNT_niveau2,0.004147273659908024,0.8224798467249812,459
Arg_over_vzin_dz,0.003982246939382955,0.829432857813017,193
Alg_positief_bvnw_p,0.003966065116862815,0.8301153694718181,313
Wrd_per_morf,0.003923474421746477,0.8319123571472701,30
Ruimte_MTLD,0.00390970492038926,0.8324935086649039,237
Morf_per_wrd,-0.003823954445422396,0.8361147155385652,29
Inhwrd_prev_z,0.00368867534135002,0.84183453170872,38
Freq1000_nw,0.003675497326991563,0.8423921704650728,90
Org_namen_d,0.0036572693534575084,0.8431636326595635,374
Ov_bijv_bep_dz,0.0036356917442462357,0.844077055824655,173
Spec_negatief_bvnw_p,0.003627168186165472,0.8444379328354081,311
Ovd_vrij_dz,0.003576541709307637,0.8465820659671309,409
LiNT_score1,0.0035086835468556843,0.849457774520625,456
Maat_nw_p,-0.0034808167539047887,0.8506393021978421,262
Tijd_nw_d,0.003422977196217354,0.8530927160874481,261
Prod_namen_d,-0.0033399660162589575,0.856616326863438,375
Conn_reeks_zin_TTR,-0.0033257761505295124,0.8572189381163635,216
Freq80_Staph,-0.003318669856863391,0.8575207574943755,43
Conc_bvnw_ruim_d,0.0031953748029918787,0.8627606371566721,334
Vragen_d,-0.0031251875258343767,0.8657462184405234,413
Waarn_mens_bvnw_p,-0.0030193118330290834,0.8702535025438974,287
Wrd_freq_log_zonder_abw,-0.0030152688333031155,0.8704257034888305,47
Int_tuss_d,-0.003006817129259133,0.8707857014301867,444
Lem_over_buf_d,-0.002890303580342057,0.8757512586030436,198
Pers_vnw_d,-0.002831566568338352,0.8782563712648382,16
AL_max,-0.0028168735109915227,0.8788832165021032,20
Morf_per_wrd_zn,0.0027211326748582607,0.8829696183608643,31
Causaal_d,-0.0026767400468832806,0.884865444154568,230
Event_namen_d,0.002673305448516055,0.8850121492701869,376
Ep_ev_bvnw_d,0.002665752384937081,0.8853347839789187,330
Ov_bijv_bep_d,-0.0026038429093570613,0.8879800045325545,172
Afk_jur_d,0.002467934318738558,0.8937913373706436,429
Vd_bv_dz,-0.002465253593799993,0.8939060212115809,399
Pers_vnw1_d,0.0024082557546982386,0.8963449612837797,367
Kleur_bvnw_p,0.0022661980962904414,0.9024278279886415,295
Tijd_TTR,0.0022201368429326865,0.9044014045779688,238
Technisch_bvnw_p,-0.002197333665761537,0.9053786666445214,303
TTR_inhwrd_zonder_abw,0.0021861866821706348,0.9058564384396924,186
Geluid_bvnw_d,-0.0021801843962665464,0.9061137170350386,300
Lem_freq_zn_log,-0.0020769536598463836,0.9105400596212302,46
Wrd_per_morf_zn,-0.0019861608922101866,0.9144353847896275,32
Lem_freq_log,-0.0019321156795925679,0.9167550939208349,45
Gebr_vw_nw_d,-0.0018413764060942715,0.9206513559617582,249
